midocean_category_level1,midocean_category_level2,midocean_category_level3,stricker_category,stricker_subcategory,xdconnects_category,xdconnects_subcategory
Office & Writing,Office accessories ,Desk lights & Accessories,Home,Personal Care - Bags,Drinkware,Water bottles
Bags & Travel,Backpacks & Business bags,Clocks & Calculators,Bags,Bags - PC/Tablet Folders and Pouches,Home & Living,Blankets
Premiums & Tools,Key rings,Backpacks,Personal & Travel,Bags - Shoulder and Waist bags,Car & Safety,Kitchen accessories
Christmas & Winter,Notebooks,Basic,Sports & Outdoor,Accessories - Wallets and Coin Pouch,Bags & Travel,interior & accessories
Kids & Games,Textile,Hard cover,Technology,Bags - Non-Woven Shopping Bags,Outdoor,First aid & Home safety
Eating & Drinking,Decoration,Paper weight/Trophies,Write,Technology - Headsets and Earphones,Tools & Torches,Carry shopping bags
Wellness & Care,Drinkware,Accessories,Drinkware,Bags - Backpacks,Phone & Tablet accessories,Barbecue
Umbrellas & Rain garments,Gift Bag,Hangers,Keychains,Kitchen - Cutlery and Dishes,Healthy Living & Sport,Tableware
Sports & Recreation,Stuffed animals,Mugs,Textile,Sports - Accessories,Audio,Bathroom textiles
Apparel & Accessories,Kitchenware,Lights,Shopping,Writing - Plastic Ball pens,Headwear,Laptop backpacks
Technology & Accessories,Home & Living,Candles,Sun & Rain,Technology - USB/UDP Pen Drives,Writing Instruments,Weekend sport bags
,Shopping bags,,Bodum,Writing - Metal Ball pens,Portfolios & Notebooks,Travel toiletry bags
Textile SOLO Group,Others,Tea holders,Ach. Brito,Tools - Lanterns,Umbrellas,Travel Accessories
,Catalogues,Teddy bears & Others,Science4You,Drinkware - Travel Cups,Textile,Cooler bags
,Rain gear,Cutting boards,Office,Writing - Plastic and Metal Ball pens,,Laptop bags executive
,Painting,Utensils,Showcases,Writing - Cases and Pouches,,Laptop sleeves
,Anti stress/Candies,Gift bags,Kids,Writing - Pencils and Mechanical Pencils,,Backpacks
,Beach items,Mugs & Tumblers,Xmas,Keychains - Various,,Thermos flasks
,Sport & Outdoor bags,Others,Summer,Leisure - Travel Accessories,,Coffee mugs & tumblers
,Travel accessories,Raincoat,Stockout,Textile - T-Shirts,,Picnic
,Outdoor,Ponchos,,Textile - Polos,,Carry recycling bags
,Accessories,Colour pencils,,Textile - Pullovers and Sweatshirts,,Outdoor accessories
,Personal care,Anti stress,,Textile - Shirts,,Interior
,Barware,Inflatables,,Textiles - Coats and vests,,Games
,Tools & Torches,Beach bags,,Textile - Pants & Shorts,,Measuring tapes
,Writing,Beach games,,Textile - Aprons and Smocks,,Rulers & cutters
,Portfolios,Travel blankets,,Textile - Fashion Accessories,,Tool pens
,Games,Document bags,,Textile - Hats,,Pocket knives
,Car accessories,Gardening,,Drinkware - Tea / coffee sets,,Multitools
,Head gear,Art paints,,Kitchen - Utilities,,Tool sets
,Events,Badges,,Drinkware - Sport bottles,,Tool gifts
,Umbrellas,Cosmetic/Toiletry bags,,Drinkware - Thermal bottles,,Car accessories
,Sport & Health,Wine accessories,,Personal care - Bath,,Torches
,First aid,Heat & Cold pad,,Leisure - Games and Toys,,Safety vests
,USBs,Lip balms,,Writing - Ball pens with Lid/Roller,,Table accessories
,Wireless Chargers,Picnic & Camping,,Bags - PC/Tablet Backpacks,,Stands
,Audio & Sound,Multitool knives,,Office - Notepads,,Candles & Fragrance sticks
,Phone accessories,Mirrors,,Identification - Badges and Pins,,Glass
,Lunchware,Nail kits,,Leisure - Picnic and BBQ,,Lunchboxes & Foodflasks
,Power banks,Cooler bags,,Technology - Speakers,,Desk accessories
,Eye wear,Pens,,Technology - Computer Accessories,,Gaming accessoires
,Windproof Umbrellas,Memo pads/sticky notes,,Bags - Thermal Bags,,Post-PC accessories
,Textile Category,Travel accessories,,Keychains - Multifunction,,Mobile Gadgets
,Brand,Fans,,Diverse,,USB chargers & hubs
,Corporate & Workwear,Laptop bags,,Drinkware - Other Bottles,,Powerbanks
,,Conference folders,,Writing - ECOlogic Ball pens,,Connectors & Cables
,,Tote bags,,Identification - Lanyards,,Car chargers
,,Soft cover,,Writing - Writing sets,,Wireless charger
,,Outdoor,,Writing - Higlighters,,Hubs
,,Token,,Writing - Colouring,,Sport Accessoires
,,Ice scrapers,,Office - Supplies,,Sport accessories
,,Measuring tapes,,Christmas - Ornaments and Decorations,,Solar chargers
,,Water bottles,,Office - Document Folders,,Backpacks outdoor/adventure
,,Hats,,Catering - Menus and Bill Holders,,Speakers
,,Caps,,Bags - Cotton Shopping Bags,,Earbuds
,,Sets,,Bags - Gift Bags,,Headphones
,,AA/AAA batteries,,Sports - Bags,,Laserpointers & -presenters
,,Wallets/RFID ,,Bags - Shopping Bags Other Materials,,True wireless
,,Pencils,,Bags - Travel bags and trolleys,,Smartwatches
,,Multifunctional,,Bags - Conference Folders,,Bike accessories
,,Games,,Bags - Drawstring bags,,Garden
,,Insulated bottles,,Leisure - Beach Accessories,,Drinkware sets
,,Football,,Drinkware - Wine Accessories,,Ceramic mugs
,,Bottle openers,,Accessories - Sunglasses,,Infuser bottles
,,Sport bags,,Bags - Paper Bags,,Scarves
,,Unfolded,,Bags - Foldable Shopping Bags,,Hats
,,Waist bags,,Keychains - With light,,6 panel caps
,,Fitness,,Accessories - Cardholders,,5 panel caps
,,Travel bags & trolleys,,Technology - Other Accessories,,Beanies
,,First aid sets,,Technology - Mobile Phone Accessories,,Summer leisure
,,Candies,,Office - Rulers,,Sunglasses
,,Medical items,,Drinkware - Mugs,,Light
,,Dynamo,,Drinks - Bar Accessories,,Work light
,,Reflective & Safety lights,,Kitchen - Boards,,Table lamp
,,Blankets,,Kitchen - Hermetic Boxes and Lunchboxes,,Eco pens
,,Towels,,Home - Decoration,,Pen sets
,,Sports bottles,,Tools - Various,,Metal pens
,,Wireless charger 5W,,Tools - Pocket knives,,Plastic pens
,,Computer accessories,,Drinkware - Corkscrew and Bottle Openers,,Pencils
,,Pocket torches,,Personal Care - Pill Boxes,,Anti-theft backpacks
,,Brain teasers,,Personal Care - Various,,Backpack trolleys
,,Beanies,,Drinkware - Foldable Bottles,,Crossbody bags
,,Earphones/TWS,,Office - Lamps,,Backpacks executive
,,Cables,,Pets - Pet Accessories,,Document exhibition bags
,,Lunch boxes,,Car - Auto Accessories,,Trolley bags
,,Foldable,,Personal Care - Cosmetic sets,,Drawstring bags
,,Drawstring bags,,Personal Care - Lip Protector,,Travel garment bags
,,Accessories & Cases,,Personal Care - Sanitizers and protective equipment,,Weekend medium bags
,,Sets & Others,,Leisure - Various Accessories,,Notebooks basic
,,Lanyards,,Technology - Digital Watches and Desk Stations,,Portfolios deluxe
,,Speakers,,Technology - Powerbanks and Chargers,,Portfolios
,,USB hubs,,,,Portfolios with zipper
,,Quick chargers ≥10W,,Personal Care - Anti-Stress,,Notebooks executive
,,Buttons,,Security - Reflective Accessories,,Travel sets
,,Waterproof bags,,"Textile - Scarves, Gloves and Hats",,RFID & Anti-skimming
,,Phone stand/holders,,Textile - Blankets,,Umbrellas for 1 person
,,Mid capacity ≥4.000 ,,Umbrellas - Automatic,,Foldable umbrellas
,,Other accessories,,Textile - Chapeus and Panamas,,Umbrellas for 2 persons
,,Bath accessories,,Umbrellas - Manual,,Wine & Bar
,,Emergency items & Key finders,,Umbrellas - Retractable,,Jackets
,,Aprons,,Textile - Raincoats,,Bodywarmers
,,Running items,,Sports - Towels,,Women t-shirts
,,Cleansing wipes,,,,Kids t-shirts
,,Low capacity ≥2.000  ,,,,Unisex T-Shirts
,,Sunscreen lotion,,,,Unisex Polos
,,Cutlery,,,,Unisex Sweatshirts
,,Hand cleansers & Tissues,,,,Unisex Pants
,,Slippers,,,,Unisex Fleece Jackets
,,Health watches,,,,Poncho's
,,Playing cards,,,,Mugs and Tumblers
,,Bicycle items,,,,
,,Sunglasses,,,,
,,Magnetic ≥10W,,,,
,,Weather stations,,,,
,,Hammocks & Chairs,,,,
,,Headphones,,,,
,,Mitten/Gloves,,,,
,,Coasters,,,,
,,Multifunctional Speakers,,,,
,,High capacity ≥8.000 ,,,,
,,Spiral,,,,
,,Foldable bags,,,,
,,Multifunctional scarves,,,,
,,Aroma diffusers,,,,
,,Branded by Earth,,,,
,,Wristbands,,,,
,,Drones & Game sets,,,,
,,Car phone holders,,,,
,,Openers,,,,
,,Laser pointers,,,,
,,Watches,,,,
,,Headbands,,,,
,,Card holders,,,,
,,Speakers mood light,,,,
,,Smart folders,,,,
,,Straws,,,,
,,Food bags,,,,
,,T-shirts,,,,
,,Polo's,,,,
,,SOL'S,,,,
,,Jackets,,,,
,,Sweat shirts,,,,
,,Softshells,,,,
,,Bodywarmers,,,,
,,Windbreakers,,,,
